category,Standard_product,Common_product,,,,,
Pork,豬扒,豬大排,,,,,
Pork,豬肉眼,三肉,豬肉眼三肉,,,,
Pork,豬背骨,,,,,,
Pork,豬腩帶骨,帶骨豬腩,,,,,
Pork,豬腩挑骨,挑骨豬腩,片骨豬腩,,,,
Pork,片骨豬腩,,,,,,
Pork,豬肋排,肋排,力排,,,,
Pork,豬四肉,四肉,,,,,
Pork,豬肉青,,,,,,
Pork,豬寸骨,,,,,,
Pork,豬脊膘油,豬背油,,,,,
Pork,豬下梅肉,,,,,,
Pork,豬扒法式,法式豬扒,,,,,
Pork,豬肋條,,,,,,
Pork,豬手,,,,,,
Pork,豬腿筒骨,筒骨,豬前筒骨,後筒骨,,前筒骨,
Pork,豬頸湯骨,湯骨,,,,,
Pork,豬腩排條,,,,,,
Pork,豬軟骨,,,,,,
Lamb,白山羊帶皮,,,,,,
Lamb,羊仔肩捲肉,羊肩捲肉,羊捲肉,,,,
Lamb,羊仔肩有骨方切,方切羊肩,,,,,
Lamb,羊仔骨排,羊骨排,7骨羊架,七骨羊架,,,
Lamb,法式羊架,羊仔骨排 法式,羊仔骨排法式,法式羊仔骨排,,,
Lamb,羊腩,羊仔腩,,,,,
Lamb,羊仔髀帶骨,羊仔比帶骨,羊髀帶骨,帶骨羊仔髀,,帶骨羊髀,帶骨羊比
Lamb,羊仔髀肉,羊比肉,,,,,
Chicken,春雞,,,,,,
Chicken,雞腎,雞腎仔,,,,,
Chicken,雞大胸,雞胸,雞胸肉,,,,
Chicken,雞白髀,雞髀,雞全比,雞全髀,,,
Chicken,雞上脾,,,,,,
Chicken,雞上腿肉,雞上髀肉,,,,,
Chicken,雞扒,雞髀扒,,,,,
Chicken,雞柳,雞小胸,小雞胸肉,,,,
Chicken,雞軟骨,,,,,,
Chicken,雞翼鎚,雞鎚,,,,,
Chicken,雞腳,,,,,,
Chicken,火雞子,,,,,,
Poultry,鴨腳,,,,,,
Poultry,鵝半翼,鵝翼,,,,,
Poultry,鴨舌,鴨脷,鴨利,,,,
Poultry,鵝腳,,,,,,
Poultry,鵝腎,,,,,,
Chicken,全雞,,,,,,
Chicken,雞全翼,,,,,,
Chicken,雞 下髀,,,,,,
Chicken,鳳爪,,,,,,
Chicken,雞中翼,中翼,中亦,雞中亦,,,
Premade,麥樂雞塊,麥樂雞,,,,,
Premade,鹽酥雞粒,鹽酥雞,鹽酥雞塊,,,,
Premade,炭燒雞腿肉串,,,,,,
Premade,成燒雞腿蔥串,,,,,,
Poultry,米鴨,,,,,,
Poultry,鴨腿,,,,,,
Poultry,鴨胸,,,,,,
Premade,雞肉腸,,,,,,
Vegetable,青豆,,,,,,
Vegetable,粟米,甜粟米,,,,,
Vegetable,雜菜,,,,,,
Vegetable,薯條,,,,,,
Vegetable,薯餅,,,,,,
Vegetable,薯角,,,,,,
Vegetable,薯格,,,,,,
Chicken,日本森林雞即食雞胸肉,,,,,,
Seafood,青邊鮑魚,,,,,,
Seafood,黑遴鮑魚,,,,,,
Seafood,黃螺頭,,,,,,
Seafood,海參,,,,,,
Seafood,珊瑚蛙,紅海參肉,,,,,
Seafood,帶子,,,,,,
Seafood,刺身帶子,,,,,,
Seafood,熟帆立貝,熟帶子,,,,,
Seafood,煮食用帶子,,,,,,
Seafood,翡翠螺,,,,,,
Seafood,黃金螺,,,,,,
Seafood,原隻熟膏口,,,,,,
Seafood,半殼青口,,,,,,
Seafood,青口肉,,,,,,
Seafood,藍青口,,,,,,
Seafood,蠔肉,,,,,,
Seafood,銀鱈魚,銀雪魚,,,,,
Seafood,比目魚,,,,,,
Seafood,黃立鯧,黃立昌,,,,,
Seafood,去皮鯰魚柳,鯰魚柳,,,,,
Seafood,青衣魚柳,青衣柳,,,,,
Seafood,石斑魚柳,,,,,,
Seafood,羅非魚,,,,,,
Seafood,羅非魚柳,,,,,,
Seafood,三文魚,,,,,,
Seafood,鮟鰄魚塊,,,,,,
Seafood,青衣魚塊,,,,,,
Seafood,藍尖属無損鱈魚塊 ,,,,,,
Seafood,比目魚扒,,,,,,
Seafood,銀鱈魚扒,,,,,,
Seafood,三文魚扒,,,,,,
Seafood,三文魚柳,,,,,,
Seafood,白蝦肉,養白蝦肉,,,,,
Seafood,生鳳尾白蝦肉,鳳尾虎蝦肉,,,,,
Seafood,熟鳳尾虎蝦肉,,,,,,
Seafood,原隻虎蝦,,,,,,
Seafood,軟殼蟹,紅樹林,,,,,
Seafood,熟雪蟹爪,,,,,,
Seafood,原隻熟龍蝦,,,,,,
Seafood,墨魚柳,,,,,,
Premade,仿蟹柳,仿蟹肉魚條,,,,,
Premade,炸帶子,人造炸帶子,,,,,
Premade,燒魚卷,,,,,,
Premade,迷你燒魚卷,,,,,,
Premade,鳴門卷,,,,,,
Premade,吉列炸蠔,,,,,,
Vegetable,甘筍球,,,,,,
Meatball,花枝丸,,,,,,
Meatball,香菇貢丸,,,,,,
Meatball,魚籽仿龍蝦球,,,,,,
Meatball,麻吉燒,,,,,,
Meatball,龍蝦丸,龍蝦味沙拉丸,,,,,
Meatball,白魚蛋,,,,,,
Meatball,牛筋丸,,,,,,
Meatball,黑椒牛筋丸,,,,,,
Meatball,蝦滑,,,,,,
Meatball,海鮮雜錦,,,,,,
Meatball,炸魚塊,,,,,,
Meatball,蝦多士,,,,,,
Meatball,吉列蝦漢堡,,,,,,
Beef,帶骨牛腩,,,,,,
Beef,牛草肚,,,,,,
Beef,牛膀,,,,,,
Beef,牛小腸,,,,,,
Beef,Plate Eye肥牛,,,,,,
Beef,Short Plate肥牛, Short Plate,SHORT PLATE,,,,
Chicken,雞髀肉,,,,,,
Chicken,上脾肉,,,,,,
Pork,豬頸骨,頸骨,,,,,
Pork,燒排骨,,,,,,
Pork,豬全手,,,,,,
Pork,豬踭,zhu,,,,,
Pork,豬肚,,,,,,
Pork,豬大腸,,,,,,
Pork,豬舌,豬利,豬脷,,,,
Meatball,墨魚丸,,,,,,
Meatball,豬肉丸,,,,,,
Meatball,牛丸,牛肉丸,,,,,
Meatball,墨魚腐皮卷,,,,,,
Seafood,海鮮什錦,海雜,,,,,
Premade,仿鮑片,,,,,,
Premade,仿蟹柳,蟹柳,,,,,
Premade,芝士腸 ,,,,,,
Premade,火腿,火腿片,,,,,
Premade,脆皮腸,,,,,,
Meatball,炸魚蛋,,,,,,
Premade,司華力腸,,,,,,
Vegetable,曲條,,,,,,
Vegetable,手工胡椒烤餅,,,,,,
Vegetable,韭菜魚餅,,,,,,
Vegetable,手工花枝鑲油條,,,,,,
Vegetable,玉米魚餅,,,,,,
Vegetable,花枝酥,,,,,,
Vegetable,芝士條,,,,,,
Vegetable,洋蔥圈,,,,,,
Beef,免治牛肉,,,,,,
Pork,免治豬肉,,,,,,
Pork,中方豬腩,,,,,,
Pork,豬背脂,,,,,,
Lamb,灰白羊,,,,,,
Lamb,黑山羊,黑羊,,,,,
Beef,Karubi 肥牛,karubi,卡樂B,,,,
Beef,牛下肩肉眼卷,肩胛肉眼卷,肩胛肉眼,肩胛,,,
